WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,Estimates Start After
664,KEN,Kenya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",63.12 ,68.87 ,76.76 ,85.26 ,94.30 ,2014
826,KIR,Kiribati,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.16 ,0.17 ,0.17 ,0.17 ,0.18 ,2013
542,KOR,Korea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1392.95 ,1450.05 ,1545.81 ,1649.08 ,1763.36 ,2014
967,UVK,Kosovo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.31 ,6.60 ,7.08 ,7.60 ,8.16 ,2013
443,KWT,Kuwait,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",123.23 ,128.54 ,141.78 ,155.53 ,167.56 ,2014
917,KGZ,Kyrgyz Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.16 ,7.66 ,8.30 ,8.99 ,9.72 ,2014
544,LAO,Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.55 ,13.44 ,15.02 ,17.10 ,18.84 ,2013
941,LVA,Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27.82 ,29.29 ,31.42 ,33.70 ,36.00 ,2013
446,LBN,Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.40 ,57.03 ,59.41 ,62.21 ,66.12 ,2011
666,LSO,Lesotho,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.04 ,2.10 ,2.24 ,2.41 ,2.54 ,2014
668,LBR,Liberia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.02 ,2.11 ,2.28 ,2.50 ,2.73 ,2011
672,LBY,Libya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",29.72 ,32.38 ,36.58 ,41.53 ,46.75 ,2014
946,LTU,Lithuania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",41.78 ,44.61 ,48.05 ,50.50 ,53.27 ,2013
137,LUX,Luxembourg,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",57.93 ,61.26 ,65.17 ,69.33 ,73.65 ,2014
962,MKD,FYR Macedonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.09 ,10.56 ,11.19 ,11.90 ,12.71 ,2014
674,MDG,Madagascar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.51 ,9.17 ,9.75 ,10.41 ,11.13 ,2014
676,MWI,Malawi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.39 ,6.15 ,6.49 ,6.90 ,7.37 ,2014
548,MYS,Malaysia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",313.48 ,350.99 ,392.44 ,437.43 ,487.73 ,2014
556,MDV,Maldives,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.03 ,3.23 ,3.48 ,3.77 ,4.09 ,2014
678,MLI,Mali,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.95 ,11.88 ,12.91 ,13.97 ,15.04 ,2011
181,MLT,Malta,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.19 ,9.72 ,10.34 ,11.00 ,11.66 ,2013
867,MHL,Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.20 ,0.20 ,0.21 ,0.22 ,0.22 ,2013
682,MRT,Mauritania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.68 ,4.79 ,5.14 ,5.51 ,5.93 ,2014
684,MUS,Mauritius,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.57 ,12.15 ,12.90 ,13.70 ,14.53 ,2014
273,MEX,Mexico,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1161.48 ,1187.05 ,1251.25 ,1322.92 ,1404.92 ,2014
868,FSM,Micronesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.31 ,0.31 ,0.32 ,0.33 ,0.34 ,2013
